ensg,symbol
ENSG00000211655,IGLV1-36
ENSG00000088340,FER1L4
ENSG00000233590,LINC02640
ENSG00000239218,RPS20P22
ENSG00000204959,ARHGEF34P
ENSG00000136872,ALDOB
ENSG00000273142,LINC02604
ENSG00000183055,FAM133CP
ENSG00000151365,THRSP
ENSG00000253234,IGLV2-5
ENSG00000258512,LINC00239
ENSG00000211658,IGLV3-27
ENSG00000101425,BPI
ENSG00000239571,IGKV2D-30
ENSG00000282639,IGHV3-64D
ENSG00000262406,MMP12
ENSG00000249649,MRPS33P2
ENSG00000229453,SPINK8
ENSG00000177504,VCX2
ENSG00000268471,MIR4453HG
ENSG00000170419,VSTM2A
ENSG00000223305,RN7SKP30
ENSG00000240250,RN7SL541P
ENSG00000211814,TRAV35
ENSG00000188293,IGFL1
ENSG00000134240,HMGCS2
ENSG00000253239,IGLVI-70
ENSG00000211639,IGLV4-60
ENSG00000196668,LINC00173
ENSG00000211806,TRAV25
ENSG00000183444,OR7E38P
ENSG00000178828,RNF186
ENSG00000113905,HRG
ENSG00000236737,GAGE12B
ENSG00000254326,IGHV7-27
ENSG00000202515,VTRNA1-3
ENSG00000243264,IGKV2D-29
ENSG00000235763,SNRPGP5
ENSG00000243353,RPS29P19
ENSG00000250569,NTAN1P2
ENSG00000230701,FBXW4P1
ENSG00000215878,MARCKSL1P2
ENSG00000236776,RPL21P23
ENSG00000179088,C12orf42
ENSG00000211672,IGLV4-3
ENSG00000211951,IGHV2-26
ENSG00000255319,ENPP7P8
ENSG00000197353,LYPD2
ENSG00000161798,AQP5
ENSG00000233603,JTBP1
ENSG00000236481,LINC02195
ENSG00000135346,CGA
ENSG00000029559,IBSP
ENSG00000270986,HMGB1P51
ENSG00000142515,KLK3
ENSG00000133624,ZNF767P
ENSG00000220517,ASS1P1
ENSG00000108342,CSF3
ENSG00000110244,APOA4
ENSG00000254174,IGHV1-12
ENSG00000211675,IGLC1
ENSG00000242860,RN7SL180P
ENSG00000211979,IGHV7-81
ENSG00000211665,IGLV3-16
ENSG00000242829,RPS26P21
ENSG00000214510,SPINK13
ENSG00000159753,CARMIL2
ENSG00000233093,LINC00892
ENSG00000207501,RNVU1-14
